segment #,AEP 1,AEP 2,PLV 1,PLV 2,PLV inter,PSDa1,PSDa2,PSDt1,PSDt2,PSDf1,PSDf2,flow1,flow2,teamflow
1,2.197715199907979e-07,3.720277939368523e-07,0.6876309717951051,0.6734019371617229,0.44674744576706116,-4.674001560123777,-2.986337624867386,-11.845663356928666,-14.706060158445212,-8.449503356356532,-4.96633484349286,0.9999999999999999,1.0000000000000002,0.0
2,-1.1241283454131898e-06,4.849833306654338e-07,0.7339688493523999,0.720707677072317,0.45509116197388744,-3.927295197107181,-0.879527454010011,-11.663694581598948,-12.977905378505374,-6.715625905116643,-5.442657712631002,0.500000075943419,0.5000000641236636,0.49854170752632715
3,0.0,0.0,0.7104362571778574,0.6968471710992746,0.47447070781336714,-3.564925646788151,-5.574818827436849,-12.837483517507536,-14.81297426804762,-7.531377165838417,-7.789869830594745,0.3333334359943558,0.3333333760824424,0.6626642937114134
4,0.0,0.0,0.7174109986001619,0.7187485781842958,0.4375555549281025,-4.830732226338068,-5.257521933998949,-11.487793114463766,-15.36045922713994,-6.327161207571902,-7.813242416291431,0.25000010054536376,0.25000007133831825,0.7466024870178665
5,0.0,0.0,0.7019286799180319,0.72478891314813,0.4649642351807157,-5.423406751857029,-3.509228548125382,-12.349951544269203,-14.661462418117893,-7.771324111497386,-8.2378851745655,0.20000010868769355,0.20000010273348984,0.7972819896142932
6,2.1018717967347303e-07,7.261989868853283e-07,0.6703919324875466,0.696112467914992,0.4473796655800316,-4.925087016928414,-3.2801859580946107,-12.223123090030716,-14.644128711110246,-7.57960628465818,-7.370844630582738,0.16666676370362285,0.16666681790197047,0.8304021488204003
7,0.0,0.0,0.704324372153398,0.7006912708278158,0.4567745811888304,-4.438870341439964,-1.0219297372707647,-11.63036709808901,-15.06461142061738,-6.647082945276347,-8.614955106744516,0.14285722603167672,0.14285733404802556,0.8541743163554157
8,-3.916421300825389e-07,-4.4286578102384243e-07,0.684168067308364,0.6726559218662392,0.44630071150913053,-3.2765507009180155,-1.0243019956191013,-11.182373557478758,-14.69340519282418,-6.00745944412886,-9.216522340011858,0.12500007554787826,0.1250001855475406,0.8709882862609845
9,-7.106585581516691e-07,3.869404892380624e-08,0.7145479293426347,0.7110515342578428,0.4449377820187018,-5.180061691375561,-0.5743549000595181,-10.92968849179167,-14.019705811164457,-6.513229073108848,-7.469974215393904,0.11111118191737684,0.11111129808536296,0.8840771268966456
10,0.0,0.0,0.7044976617439125,0.7160720898809686,0.448189439242932,-5.653762043715224,-2.318812689984937,-11.438385255096302,-14.252961931681996,-5.437037678015151,-5.971349206484915,0.10000007114291773,0.10000018163574054,0.8946835951136599
